customer_id,acquisition_campaign_id,acquisition_channel,first_purchase_value,repeat_purchase_count,total_ltv
1,49,In-store,370,1,536
2,26,Trade-Promo,1132,10,6922
3,20,Trade-Promo,297,2,1571
4,79,Trade-Promo,179,12,8507
5,65,TV,290,7,6065
6,17,Trade-Promo,1204,0,1204
7,84,In-store,1169,6,4343
8,6,OOH,1185,6,3489
9,62,In-store,817,9,8584
10,74,TV,971,2,1791
11,62,Digital-Social,271,4,3319
12,70,In-store,627,3,1092
13,91,OOH,114,9,6279
14,16,Trade-Promo,114,6,5034
15,27,OOH,746,6,3866
16,14,Digital-Social,972,10,8462
17,33,Digital-Search,1197,6,5565
18,47,Trade-Promo,664,10,6224
19,97,Digital-Social,946,8,6706
20,62,Digital-Social,858,8,6602
21,62,Digital-Search,728,9,5246
22,100,OOH,915,11,4116
23,85,TV,570,7,6632
24,21,TV,539,8,5019
25,44,Trade-Promo,1357,11,10707
26,91,TV,429,6,5235
27,1,TV,397,7,5745
28,56,TV,231,4,1739
29,48,TV,1347,0,1347
30,50,In-store,1357,10,8187
31,37,OOH,1323,0,1323
32,82,In-store,999,0,999
33,85,Trade-Promo,685,3,1237
34,77,Trade-Promo,1156,11,5413
35,79,Digital-Social,1480,0,1480
36,31,OOH,100,2,576
37,36,In-store,823,10,6363
38,52,Trade-Promo,510,8,1830
39,95,OOH,240,1,952
40,37,OOH,1245,9,5799
41,45,Digital-Search,563,9,3704
42,59,In-store,1277,0,1277
43,23,In-store,1136,1,1858
44,10,Trade-Promo,702,5,2047
45,66,Digital-Search,1201,12,10057
46,33,OOH,1006,6,5362
47,62,Digital-Social,795,12,8223
48,88,In-store,1301,0,1301
49,15,Digital-Search,238,6,5026
50,29,OOH,570,12,6246
51,53,Digital-Search,1157,8,2429
52,90,Digital-Search,608,4,1588
53,52,OOH,800,1,1517
54,23,In-store,742,5,2607
55,74,Digital-Search,474,11,9813
56,25,In-store,508,3,1699
57,34,Digital-Social,569,3,1784
58,80,Digital-Search,419,12,3527
59,16,TV,1484,10,8024
60,79,TV,1208,0,1208
61,48,Trade-Promo,745,7,5911
62,36,In-store,474,12,8550
63,36,In-store,554,12,9434
64,17,TV,1176,12,8172
65,62,Trade-Promo,166,8,4206
66,51,OOH,457,7,2368
67,90,Trade-Promo,1042,5,5317
68,2,TV,1480,3,3094
69,75,TV,766,5,4651
70,34,Digital-Social,1223,4,2791
71,35,In-store,1355,5,3975
72,24,In-store,968,3,2705
73,90,Digital-Search,847,6,3463
74,58,Digital-Social,1270,2,2748
75,88,Digital-Social,304,11,4990
76,31,Trade-Promo,985,6,3085
77,19,OOH,406,7,1519
78,23,In-store,1123,2,2713
79,67,Trade-Promo,746,12,8522
80,39,Digital-Search,1251,9,3033
81,51,TV,434,0,434
82,33,In-store,1389,1,1999
83,96,Digital-Search,632,5,3222
84,72,Trade-Promo,627,5,1477
85,53,TV,819,10,8519
86,26,Trade-Promo,1279,10,9419
87,69,Digital-Social,682,5,3092
88,87,Trade-Promo,1098,12,8382
89,11,In-store,1356,4,3852
90,81,Digital-Social,443,10,5393
91,54,OOH,1354,9,6430
92,10,TV,431,5,2346
93,41,Digital-Search,1437,4,4945
94,35,Trade-Promo,1420,6,3982
95,57,Digital-Search,1302,8,6190
96,53,Digital-Social,476,0,476
