record_id,campaign_id,channel,leads_generated,conversions,revenue_generated
1,55,OOH,2419,868,556747.7
2,16,OOH,6285,2822,1278808.28
3,89,Digital-Social,6135,3027,950348.04
4,68,Trade-Promo,2063,945,174117.21
5,2,OOH,646,347,488625.56
6,17,OOH,4902,1654,309034.34
7,57,Digital-Search,1134,179,183027.82
8,10,Trade-Promo,7975,2041,177110.31
9,32,TV,3316,1253,2218234.64
10,39,Trade-Promo,693,381,1252920.96
11,13,Digital-Social,2164,571,720756.84
12,21,TV,2096,799,1384415.35
13,90,In-store,6653,3905,1859624.35
14,85,Digital-Social,5505,1160,550982.11
15,19,TV,6952,3026,732747.78
16,57,TV,7922,1907,1583925.84
17,64,In-store,6217,1941,1591673.16
18,4,TV,369,118,1719355.37
19,98,Digital-Social,1686,767,1107577.96
20,63,TV,5689,996,1280858.8
21,43,In-store,500,166,301277.91
22,33,Digital-Search,5587,2780,919060.26
23,7,Digital-Social,3821,1938,526929.47
24,35,Trade-Promo,4170,914,240683.6
25,81,Trade-Promo,4712,527,1748588.69
26,12,Digital-Social,7016,1331,1091904.1
27,92,Digital-Search,2196,1154,1067834.03
28,50,Digital-Social,2984,1337,169376.82
29,1,Digital-Search,4211,1029,1261015.6
30,62,Digital-Search,3930,2303,963935.51
31,25,OOH,2113,1052,471964.91
32,96,In-store,503,82,935427.66
33,76,Digital-Search,7658,2636,329790.89
34,19,In-store,2973,1573,335139.84
35,84,TV,2794,1562,2032309.06
36,98,In-store,5370,1714,2435879.14
37,96,TV,5885,1814,493373.74
38,6,Digital-Search,3728,670,467826.05
39,53,Trade-Promo,5192,2085,547127.81
40,31,In-store,2280,1169,393377.09
41,2,In-store,805,306,2541056.8
42,76,Digital-Search,7124,1949,911381.11
43,50,In-store,3140,1491,435554.37
44,90,Digital-Search,266,122,2301065.7
45,100,OOH,7022,1874,1954468.7
46,30,Trade-Promo,2253,505,677270.41
47,81,OOH,473,198,620027.35
48,17,TV,1282,680,1233410.89
49,47,Trade-Promo,6806,1888,615319.73
50,44,TV,2048,1017,439109.19
51,72,Digital-Search,4595,965,889863.09
52,87,OOH,6937,3308,2205549.51
53,14,OOH,5275,2826,844450.62
54,79,Digital-Social,2675,1596,1277865.43
55,18,TV,2123,489,637547.24
56,48,OOH,7453,2444,1664191.25
57,63,Trade-Promo,3235,767,647451.7
58,31,Digital-Search,7586,3399,1261257.21
59,51,Digital-Search,5629,1430,438276.71
60,77,TV,6646,2976,477690.69
61,98,Trade-Promo,2891,591,1919515.5
62,77,TV,6741,1388,185333.92
63,4,Digital-Social,2852,317,470470.27
64,7,Digital-Social,720,315,1143114.87
65,47,Trade-Promo,7944,3313,380269.93
66,85,Trade-Promo,4123,2057,973718.72
67,14,In-store,5183,1125,100438.2
68,36,Trade-Promo,3916,1426,1058685.01
69,13,OOH,6105,1490,1360494.44
70,30,In-store,6176,1006,791650.24
71,41,OOH,5826,2524,351635.31
72,11,TV,4757,720,347999.75
73,72,Trade-Promo,3096,1671,2505477.08
74,55,OOH,3080,520,800231.11
75,28,Digital-Social,7125,2990,475017.44
76,98,Digital-Search,5226,2802,338038.31
77,85,OOH,2438,875,262971.52
78,45,TV,770,149,550339.3
79,4,TV,1489,526,668368.03
80,42,Trade-Promo,6380,3168,78274.75
81,11,Digital-Search,5173,2327,1340210.34
