campaign_id,campaign_name,product_category,brand,start_date,end_date,total_budget,region,season_tag
1,Nescafé Campaign 1,Beverages,Nescafé,2024-10-08,2024-11-12,7989709,South,Diwali
2,Milo Campaign 2,Beverages,Milo,2024-02-02,2024-02-23,3643890,South,Summer
3,Nescafé Campaign 3,Beverages,Nescafé,2025-10-27,2025-12-20,14576749,South,Regular
4,Cerelac Campaign 4,Dairy-Nutrition,Cerelac,2024-06-12,2024-07-29,11916912,East,Summer
5,Munch Campaign 5,Confectionery,Munch,2024-04-14,2024-05-09,13248244,North,Back-to-School
6,Everyday Campaign 6,Dairy-Nutrition,Everyday,2024-02-14,2024-04-03,18492829,North,Regular
7,Milo Campaign 7,Beverages,Milo,2025-10-05,2025-12-03,12634457,Metro,Summer
8,Nescafé Campaign 8,Beverages,Nescafé,2025-11-08,2025-12-12,10210248,North,Summer
9,Milo Campaign 9,Beverages,Milo,2024-10-11,2024-11-29,12741736,South,Back-to-School
10,Cerelac Campaign 10,Dairy-Nutrition,Cerelac,2025-11-17,2025-12-24,2895870,Metro,Summer
11,KitKat Campaign 11,Confectionery,KitKat,2025-04-18,2025-06-01,9557945,Tier-2/3,Summer
12,Cerelac Campaign 12,Dairy-Nutrition,Cerelac,2024-08-22,2024-09-13,11084847,West,Back-to-School
13,Nescafé Campaign 13,Beverages,Nescafé,2025-08-03,2025-09-12,7634562,Tier-2/3,Regular
14,Maggi Campaign 14,Meals,Maggi,2024-05-26,2024-07-01,5185216,South,Back-to-School
15,Maggi Campaign 15,Meals,Maggi,2025-01-05,2025-02-08,5141643,Metro,Regular
16,Nescafé Campaign 16,Beverages,Nescafé,2024-04-22,2024-05-21,5868105,Tier-2/3,Regular
17,Milo Campaign 17,Beverages,Milo,2025-01-25,2025-03-24,16205148,Metro,Back-to-School
18,Nescafé Campaign 18,Beverages,Nescafé,2025-11-29,2026-01-22,9453167,Tier-2/3,Back-to-School
19,Milo Campaign 19,Beverages,Milo,2025-03-21,2025-04-20,15724441,North,Back-to-School
20,KitKat Campaign 20,Confectionery,KitKat,2025-10-02,2025-11-10,17534339,Metro,Summer
21,Munch Campaign 21,Confectionery,Munch,2024-06-14,2024-08-07,18295716,North,Back-to-School
22,Maggi Campaign 22,Meals,Maggi,2024-04-24,2024-06-06,10818461,South,Diwali
23,KitKat Campaign 23,Confectionery,KitKat,2024-03-28,2024-05-18,2822386,Metro,Summer
24,Munch Campaign 24,Confectionery,Munch,2025-07-16,2025-08-15,9393824,Metro,Regular
25,KitKat Campaign 25,Confectionery,KitKat,2024-11-15,2024-12-30,13029912,West,Regular
26,Nescafé Campaign 26,Beverages,Nescafé,2024-08-18,2024-09-11,11844269,North,Summer
27,KitKat Campaign 27,Confectionery,KitKat,2024-03-13,2024-05-12,2475475,South,Diwali
28,Milo Campaign 28,Beverages,Milo,2024-03-13,2024-05-04,8486110,East,Regular
29,KitKat Campaign 29,Confectionery,KitKat,2025-08-07,2025-10-02,16360207,South,Regular
30,Maggi Campaign 30,Meals,Maggi,2024-04-06,2024-05-02,14963677,East,Regular
31,Maggi Campaign 31,Meals,Maggi,2024-02-25,2024-03-22,2533823,West,Back-to-School
32,Nescafé Campaign 32,Beverages,Nescafé,2024-07-15,2024-08-16,18494763,West,Summer
33,Maggi Campaign 33,Meals,Maggi,2024-10-12,2024-11-30,8882113,North,Regular
34,Nescafé Campaign 34,Beverages,Nescafé,2025-10-29,2025-12-22,995191,North,Summer
35,Munch Campaign 35,Confectionery,Munch,2025-05-12,2025-07-01,7672169,West,Diwali
36,Munch Campaign 36,Confectionery,Munch,2024-01-03,2024-02-16,9398737,West,Back-to-School
37,Maggi Campaign 37,Meals,Maggi,2024-06-07,2024-07-09,10455862,South,Diwali
38,Milo Campaign 38,Beverages,Milo,2024-02-28,2024-03-22,16498367,Metro,Summer
39,Nescafé Campaign 39,Beverages,Nescafé,2024-07-09,2024-08-02,2780388,Tier-2/3,Summer
40,Maggi Campaign 40,Meals,Maggi,2025-08-06,2025-09-10,19925300,Metro,Diwali
41,Milo Campaign 41,Beverages,Milo,2025-11-04,2025-12-31,19465868,Metro,Back-to-School
42,Cerelac Campaign 42,Dairy-Nutrition,Cerelac,2025-11-16,2025-12-26,8508971,East,Regular
43,Munch Campaign 43,Confectionery,Munch,2025-04-13,2025-05-23,2934143,North,Regular
44,Nescafé Campaign 44,Beverages,Nescafé,2025-07-04,2025-08-06,17474673,East,Summer
45,Cerelac Campaign 45,Dairy-Nutrition,Cerelac,2024-09-07,2024-10-20,10062590,South,Regular
46,Cerelac Campaign 46,Dairy-Nutrition,Cerelac,2025-11-14,2026-01-08,10545483,Tier-2/3,Diwali
47,Munch Campaign 47,Confectionery,Munch,2024-04-28,2024-05-24,19063105,South,Back-to-School
48,Cerelac Campaign 48,Dairy-Nutrition,Cerelac,2024-12-17,2025-01-19,9357829,Metro,Regular
49,Cerelac Campaign 49,Dairy-Nutrition,Cerelac,2024-04-04,2024-06-03,14712844,East,Diwali
50,Milo Campaign 50,Beverages,Milo,2024-05-13,2024-07-12,9289760,South,Regular
51,Maggi Campaign 51,Meals,Maggi,2024-04-24,2024-05-18,5501431,Metro,Diwali
52,Cerelac Campaign 52,Dairy-Nutrition,Cerelac,2025-03-16,2025-04-13,1903543,East,Back-to-School
53,Milo Campaign 53,Beverages,Milo,2024-08-03,2024-09-07,3949181,East,Regular
54,KitKat Campaign 54,Confectionery,KitKat,2024-06-15,2024-07-16,14334304,North,Summer
55,Everyday Campaign 55,Dairy-Nutrition,Everyday,2025-11-16,2025-12-21,9452514,South,Diwali
56,Maggi Campaign 56,Meals,Maggi,2025-04-26,2025-05-30,7196552,West,Back-to-School
57,Cerelac Campaign 57,Dairy-Nutrition,Cerelac,2024-08-16,2024-09-06,6980360,West,Back-to-School
58,Cerelac Campaign 58,Dairy-Nutrition,Cerelac,2024-10-12,2024-11-23,17592818,West,Back-to-School
