spend_id,campaign_id,channel,platform,spend_amount,impressions,clicks,grps
1,55,OOH,,418900,3856291,,
2,16,OOH,,380876,1052897,,
3,89,Digital-Social,Meta,276895,4111752,18620.0,
4,68,Trade-Promo,Retailers,155409,1678376,19914.0,
5,2,OOH,,337636,431813,,
6,17,OOH,,157570,152889,,
7,57,Digital-Search,Google,103872,2167942,31808.0,
8,10,Trade-Promo,Retailers,209097,1301560,37386.0,
9,32,TV,,685770,1943200,,321.5
10,39,Trade-Promo,Retailers,370214,4820009,41199.0,
11,13,Digital-Social,Meta,327501,731049,10792.0,
12,21,TV,,522387,3991911,,151.9
13,90,In-store,Blinkit,770775,2008100,17837.0,
14,85,Digital-Social,Instagram,170351,4618120,15233.0,
15,19,TV,,223982,2630434,,258.3
16,57,TV,,772131,2600901,,294.9
17,64,In-store,Blinkit,677086,384376,28813.0,
18,4,TV,,757053,4875119,,255.5
19,98,Digital-Social,Instagram,594173,3759689,18729.0,
20,63,TV,,414863,3475472,,166.7
21,43,In-store,DMart,352218,3409236,36551.0,
22,33,Digital-Search,Google,473808,4366746,575.0,
23,7,Digital-Social,Instagram,702878,4231663,41486.0,
24,35,Trade-Promo,Retailers,352020,3725184,46260.0,
25,81,Trade-Promo,Retailers,794261,1378572,20865.0,
26,12,Digital-Social,Meta,533863,1035377,42948.0,
27,92,Digital-Search,Google,485673,4097499,31447.0,
28,50,Digital-Social,Meta,123201,2367331,27693.0,
29,1,Digital-Search,Google,665448,4914749,43749.0,
30,62,Digital-Search,Google,628727,4608621,25220.0,
31,25,OOH,,649573,3262592,,
32,96,In-store,DMart,454832,1325951,32961.0,
33,76,Digital-Search,Google,511694,886442,34968.0,
34,19,In-store,Blinkit,128463,3988372,17868.0,
35,84,TV,,757115,4526348,,183.0
36,98,In-store,Blinkit,697453,623954,15885.0,
37,96,TV,,153225,893115,,205.3
38,6,Digital-Search,Google,357618,3057008,25065.0,
39,53,Trade-Promo,Retailers,228240,1518588,5675.0,
40,31,In-store,Blinkit,293467,3918405,42305.0,
41,2,In-store,DMart,760526,4635197,10853.0,
42,76,Digital-Search,Google,773846,2147975,30439.0,
43,50,In-store,Blinkit,298728,3249115,37981.0,
44,90,Digital-Search,Google,740203,3370259,18488.0,
45,100,OOH,,685863,4216850,,
46,30,Trade-Promo,Retailers,279642,1644942,41190.0,
47,81,OOH,,373939,3747892,,
48,17,TV,,392589,3535492,,111.5
49,47,Trade-Promo,Retailers,222537,2205621,32078.0,
50,44,TV,,128957,1230755,,314.0
51,72,Digital-Search,Google,463741,166758,17831.0,
52,87,OOH,,662955,3246273,,
53,14,OOH,,544379,259921,,
54,79,Digital-Social,Meta,716269,3944558,46445.0,
55,18,TV,,369149,4182434,,90.6
56,48,OOH,,665870,1346232,,
57,63,Trade-Promo,Retailers,343328,324444,45738.0,
58,31,Digital-Search,Google,768987,3131428,36182.0,
59,51,Digital-Search,Google,178093,3864445,6507.0,
60,77,TV,,399709,2093203,,396.1
61,98,Trade-Promo,Retailers,664867,1861531,15769.0,
62,77,TV,,201716,1140453,,239.1
63,4,Digital-Social,Meta,425644,2045914,39091.0,
64,7,Digital-Social,Instagram,601640,1003359,49367.0,
65,47,Trade-Promo,Retailers,523962,4276505,15019.0,
66,85,Trade-Promo,Retailers,530292,311310,4486.0,
67,14,In-store,DMart,127060,727719,21609.0,
68,36,Trade-Promo,Retailers,449407,4500633,19826.0,
69,13,OOH,,736516,4674935,,
70,30,In-store,DMart,525528,3394791,27762.0,
71,41,OOH,,442483,1330428,,
72,11,TV,,151255,3175988,,334.1
